Time		Subtitle		Translation
00:00:00				可以影响比特币一分钟K线的男人半神半木夏宣布退网 
00:00:04				留下了他对后面几个月行情的分析 
00:00:07				如果比特币真能按照这个剧本运行 
00:00:09				半神的半字应该就可以去掉了 
00:00:12				他从一万块本金起步 
00:00:14				最高峰的时候仅公开的实盘就有超过400多倍的利润 
00:00:18				最后一次公开的资产接近5000万 
00:00:21				这种经常能赢的人的引退分析 
00:00:23				我觉的各位完全可以当作近期的一个参考指标 
00:00:27				呦，我来了，欢迎来到投机实验室 
00:00:31				之前做了很多期半木夏老师交易策略的视频 
00:00:34				最被人熟知的应该是两年前的半神MACD 
00:00:38				不过两年时间他的交易系统发生了非常大的改变 
00:00:42				对技术分析的依赖逐步淡化 
00:00:45				现在已经演变成了对周期流动性 
00:00:48				技术分析全盘考虑的终极版交易系统 
00:00:51				接下来我就把他现阶段的方法泄露给各位 
00:00:55				一定点击订阅按钮并坚持到最后 
00:00:58				这是最后一期关于半神的内容 
00:01:01				或许真的能拯救你今后的钱包 
00:01:03				想要通过交易赚到大的结果 
00:01:06				顺大势而为一定是排在首位 
00:01:08				大势就是周期 
00:01:10				市场周期大致可以划分为熊市熊末 
00:01:14				熊反 
00:01:15				牛初牛市牛末牛调熊初 
00:01:19				这八个阶段 
00:01:20				划分的很细 
00:01:21				只是真的处在某个阶段的时候很难判断所处的周期到底是什么 
00:01:27				我们可以添加三条移动平均线 
00:01:29				参数分别设置成MA30 
00:01:31				MA120/MA256 
00:01:34				普遍都认为价格长时间处在自上而下空头排列的三均线下方的时候市场走熊 
00:01:40				当均线开始拐头向上 
00:01:42				价格又反弹突破了MA256 
00:01:45				我们就可以主观认为熊市已经要从末期迎来一波熊市的反弹 
00:01:50				要预判几个反弹大概率会受阻的位置 
00:01:53				设立一个牛初和牛市的分界线 
00:01:56				一般来讲一段幅度较大的熊反 
00:01:58				大概率会有一波大回调 
00:02:00				所以还需要确定出牛熊的分界线 
00:02:03				比如MA256均线附近 
00:02:06				如果熊反的回调无法将价格压在均线下方 
00:02:10				就可以确定牛初来了 
00:02:12				牛市初期的市场分歧会很大 
00:02:14				有很多不利的事件和消息出现 
00:02:16				但是币价会非常坚挺 
00:02:18				坚挺最核心的原因肯定是有资金在买入 
00:02:21				所以说利空是检验牛市成色的试纸 
00:02:25				如果在分歧中没能上车 
00:02:27				可以等突破下一个关键阻力的时候择机入场 
00:02:31				突破后牛初转牛上行空间很大 
00:02:34				这应该也是当时半木夏老师判断牛市来了的一个依据 
00:02:38				还有价格长时间能处在自下而上多头排列的三均线上方也表示市场正在走牛 
00:02:44				牛市末期也需要了解 
00:02:46				这关乎到利润最后能否进到自己的钱包 
00:02:50				比特币前几次触顶之前都会有一些异常的特定现象和信号 
